Description,Extracted
gravelcompactedsand,gravel sand
soilsandy,sand soil
boulderswatersupply,water boulders
claysandy,sand clay
clay,clay
sandstonewhitesoft,sandstone
claygrey,clay
gravelcompactedsand,gravel sand
conglomeratehardwatersupply,water conglomerate
sandcompactedsilt,sand silt
clayboulder,boulders clay
topsoil,soil
gravel,gravel
granite,granite
shaleyellow,shale
topsoil,soil
basaltwatersupply,water basalt
basalt,basalt
shale,shale
sandrivergravel,gravel sand
shalewatersupply,water shale
clayridge,clay
boulders,boulders
soil,soil
basaltwatersupply,water basalt
basaltbrokenwatersupply,water basalt
clay,clay
topsoil,soil
rockbroken,rock
claygravel,gravel clay
claygreysandy,sand clay
conglomerateblack,conglomerate
clayredslightlysandy,sand clay
topsoilred,soil
stones,stones
conglomerateblack,conglomerate
graniteblack,granite
gravelsmallroundedwatersupply,gravel water
soilblack,soil
gravelwatersupply,gravel water
clay,clay
clayridgegravel,gravel clay
clay,clay
sandstonehard,sandstone
claysoft,clay
topsoil,soil
sandstone,sandstone
sandwaterbearing,sand water
clayhardshaley,shale clay
clay,clay
clay,clay
sandstone,sandstone
sandstonesoft,sandstone
sandstone,sandstone
sandwhitefinewaterbearing,sand water
sandstoneclay,sandstone clay
clay,clay
sandgravelwaterbearing,gravel water sand
loamred,loam
clayred,clay
shale,shale
gravelredriverwatersupply,gravel water
shalewatersupply,water shale
clayridge,clay
shalehard,shale
shalewatersupply,water shale
topsoil,soil
shaleyellow,shale
shale,shale
gravelcompactedbasalticwatersupply,gravel basalt water
clayyellowsandygravelwaterbearing,sand water clay gravel
gravelcompacted,gravel
soilalluvial,alluvium soil
topsoil,soil
clayridge,clay
basalt,basalt
shaleyellow,shale
basaltwatersupply,water basalt
loamalluvial,alluvium loam
gravelriverfinewatersupply,gravel water
graveldryclay,gravel clay
soil,soil
clay,clay
gravelwatersupply,gravel water
gravelclayey,gravel clay
clayridge,clay
basalt,basalt
shalegrey,shale
mudstonewatersupply,water mudstone
basalt,basalt
topsoilred,soil
clayred,clay
shale,shale
driller,diorite
shalegrey,shale
basalt,basalt
shale,shale
shale,shale
basalt,basalt
mudstonewatersupply,water mudstone
clayred,clay
topsoilred,soil
clay,clay
sandstone,sandstone
topsoil,soil
sandstonewatersupply,water sandstone
clay,clay
topsoil,soil
sandstonewatersupply,water sandstone
basaltwatersupply,water basalt
clayridge,clay
topsoil,soil
shaleyellow,shale
driller,diorite
basaltbroken,basalt
topsoil,soil
rockwatersupply,water rock
topsoil,soil
rockrotten,rock stones
clay,clay
driller,diorite
gravelwatersupply,gravel water
claysandy,sand clay
claysandy,sand clay
graveldry,gravel
clay,clay
gravelwaterbearing,gravel water
clay,clay
gravelwaterbearing,gravel water
topsoil,soil
shalehard,shale
topsoil,soil
shalewatersupply,water shale
clayridge,clay
shalehard,shale
soil,soil
basaltwatersupply,water basalt
basalt,basalt
basalt,basalt
shaleyellow,shale
clay,clay
basalt,basalt
clayridge,clay
topsoil,soil
shaleyellow,shale
basaltwatersupply,water basalt
basalthard,basalt
soilgranitic,soil
granitegrey,granite
graniteweathered,water granite
graniteweathered,water granite
granitegreysome,granite
sandstonewatersupply,water sandstone
topsoil,soil
clayred,clay
basalt,basalt
clayred,clay
topsoil,soil
basaltgrey,basalt
shale,shale
basaltwaterbearing,water basalt
gravelclay,gravel clay
clay,clay
sandgravelloose,gravel sand
gravelwaterbearing,gravel water
basaltdecomposed,basalt
pebbles,pebbles
pebbles,pebbles
claylightyellowish,clay
clay,clay
clay,clay
sandcoarsegravel,gravel sand
sandfinemediumcoarse,sand
sandclaybands,sand clay
sandclayeycoarsegravel,gravel sand clay
gravelcoarsesanddriller,gravel sand
sandfinemediumcoarse,sand
clay,clay
madeground,
clay,clay
clay,clay
clay,clay
claygreysomestones,stones clay
sandfine,sand
clay,clay
clay,clay
sandfinemedium,sand
clayblack,clay
sandfinemediumcoarse,sand
clay,clay
sandstonegreyweathered,sandstone
sandfinemediumcoarse,sand
sandmediumcoarseclaybands,sand carbonaceous clay
sandclay,sand clay
sandfineclaybands,sand clay
sandfinemediumcoarse,sand
gravelfinewaterworn,gravel water
shalegrey,shale
shale,shale
loamyellowsandy,sand loam
topsoil,soil
gravelfineclaywatersupply,gravel water clay
loam,loam
clay,clay
gravelcoarseriverwatersupply,gravel water
clayridge,clay
basalt,basalt
topsoil,soil
basaltwatersupply,water basalt
shale,shale
shaleyellow,shale
basalt,basalt
shale,shale
shale,shale
clayridge,clay
topsoil,soil
bouldersclay,boulders clay
shaleyellow,shale
shalewatersupply,water shale
clayridge,clay
bouldersclay,boulders clay
shale,shale
shalewatersupply,water shale
shale,shale
topsoil,soil
soil,soil
clay,clay
shalewatersupply,water shale
shaleyellow,shale
topsoil,soil
shale,shale
shalewatersupply,water shale
shalehard,shale
shaleyellow,shale
clayridge,clay
sandgravel,gravel sand
claygreysilty,silty clay
sandgravel,gravel sand
sandbands,sand
soilblack,soil
claysandy,sand clay
sandgravel,gravel sand
claysandy,sand clay
claysandy,sand clay
sandband,sand
claysandyclay,sand clay
sandgravel,gravel sand
claysandy,sand clay
claysandy,sand clay
sandwhitewellsorted,sand
sand,sand
claysandy,sand clay
topsoilwatersupply,water soil
gravelsand,gravel sand
basalt,basalt
basaltsomeweatheredbandswatersupply,water basalt
streaks,
topsoilbasalt,basalt soil
gravelred,gravel
shaleyellow,shale
shalewatersupply,water shale
soil,soil
shale,shale
shalehard,shale
basalt,basalt
sandstone,sandstone
sandstonewatersupply,water sandstone
sandstone,sandstone
sandstone,sandstone
sandstonewaterbearing,water sandstone
sandstone,sandstone
soil,soil
basalt,basalt
claypinkishridge,clay
clayboulder,boulders clay
basaltsoft,basalt
clay,clay
sandgravelwaterbearing,gravel water sand
clay,clay
gravelwaterbearing,gravel water
clay,clay
topsoil,soil
coal,coal
rockwatersupply,water rock
rock,rock
shalewatersupply,water shale
shalegrey,shale
shaleclay,shale clay
shale,shale
soilredsurface,soil
clayboulder,boulders clay
basaltwaterbearingwatersupply,water basalt
topsoilred,soil
gravelridge,gravel
boulders,boulders
clayfinesandywatersupply,sand water clay
clay,clay
clay,clay
claycoarsesandy,sand clay
clayreddish,clay
topsoil,soil
gravelwatersupply,gravel water
loamsandy,sand loam
sandstonewatersupply,water sandstone
clay,clay
clay,clay
sandstone,sandstone
claysandyclaysandsomesmallbands,clay loam sand clay
sandwhitewellsorted,sand
topsoil,soil
sandwellsortedgravel,gravel sand
clay,clay
claygreysomelimestone,clay limestone
claysandysandsomesmallbands,clay loam sand clay
sandfinemediumclayey,sand clay
sandwellsorted,sand
sandfinemediumclayey,sand clay
claybottomsandstonedecomposed,sandstone clay
basaltwatersupply,water basalt
basaltrotten,basalt stones
soil,soil
clayridge,clay
gravelwaterbearing,gravel water
gravelwaterbearing,gravel water
clayyellow,clay
clayyellow,clay
gravel,gravel
topsoil,soil
claywhite,clay
clayyellow,clay
clayyellowsandy,sand clay
sandgravelwaterbearing,gravel water sand
clayyellowgravel,gravel clay
clayyellow,clay
claycream,clay
clayyellowsandy,sand clay
clayyellow,clay
clayyellow,clay
clayred,clay
clayyellowsandy,sand clay
sandwellsorted,sand
sandwellsorted,sand
clay,clay
sandwellsorted,sand
claysomesandy,sand clay
sandwellsortedgravel,gravel sand
claysomesandy,sand clay
sandclayeygravel,gravel sand clay
claysomesandy,sand clay
claycoloured,clay
claysandysomelimestone,sand clay limestone
clay,clay
clay,clay
sandwellsorted,sand
topsoil,soil
sandwellsorted,sand
clay,clay
clay,clay
clay,clay
gravelwaterbearing,gravel water
gravelwaterbearing,gravel water
soil,soil
clayridgegravel,gravel clay
gravelwaterbearing,gravel water
volcanicrocksoft,rock volcanic
conglomerate,conglomerate
claysomerivergravelwatersupply,gravel water clay
claysandy,sand clay
basalt,basalt
gravelsomeclaywatersupply,gravel water clay
soilalluvial,alluvium soil
sandgravel,gravel sand
clay,clay
sandfinegravel,gravel sand
clay,clay
sandcoarsewaterbearing,sand water
claysandy,sand clay
claymulticoloured,clay
sandgravel,gravel sand
clay,clay
clay,clay
sandgravelwaterbearing,gravel water sand
clay,clay
topsoil,soil
sandgravelwaterbearing,gravel water sand
claysandy,sand clay
clay,clay
sandcoarsewaterbearing,sand water
gravelwaterbearingsand,gravel water sand
clay,clay
topsoil,soil
sandstone,sandstone
gravelwaterbearing,gravel water
gravelveinswaterbearing,gravel water
gravel,gravel
claysandy,sand clay
sandveinswaterbearing,sand water
claygravel,gravel clay
claysandy,sand clay
claysandy,sand clay
claygravel,gravel clay
claygravel,gravel clay
clay,clay
sandgravel,gravel sand
sandclayeygravel,gravel sand clay
clay,clay
sandwhite,sand
claylimestone,limestone clay
claysandy,sand clay
sandwhite,sand
sandclayeygravel,gravel sand clay
sandwhite,sand
claycoloured,clay
topsoil,soil
driller,diorite
claysandy,sand clay
claysandy,sand clay
claylightgreyhard,clay
clay,clay
claylightgrey,clay
sandfinecoarsefinegravel,gravel sand
somecleanbands,
claylightgreysandy,sand clay
shalegreyblack,shale
sandclayboundwaterbearing,sand water clay
clayyellowsandywaterbearing,sand water clay
sandcoarsefinegravel,gravel sand
sandmediumgravel,gravel sand
claygreenwaterbearing,water clay
sandgravelclayboundwaterbearing,water sand clay gravel
gravelfinewaterbearing,gravel water
somecleanbands,
claylightgreycrumbly,clay
sandfinegravelwaterbearing,gravel water sand
claylightgreygravelbands,gravel clay
sandclayboundcoarsewaterbearing,sand water carbonaceous clay
gravelmulticolouredfinewaterbearing,gravel water
gravelmulticolouredfinewaterbearing,gravel water
sandfinecoarsewaterbearing,sand water
sandclayboundwaterbearing,sand water clay
sandfinewaterbearing,sand water
claystickysandy,sand clay
claywaterbearing,water clay
claygreyyellowsandywaterbearing,sand water clay
claygreysandy,sand clay
gravelsandybands,gravel sand
sandbands,sand
clay,clay
claygrey,clay
sandmediumwaterbearing,sand water
sandmediumgravelwaterbearing,gravel water sand
gravelclay,gravel clay
claygreysandy,sand clay
claygrey,clay
claygravel,gravel clay
claysandy,sand clay
claysandy,sand clay
claysandy,sand clay
claygreysandy,sand clay
topsoil,soil
sandbands,sand
sandlightbrownmediumwaterbearing,sand water
claygreysandy,sand clay
soilblack,soil
gravelclay,gravel clay
claylightbrownsomegravel,gravel clay
claysilty,silty clay
claygravel,gravel clay
claylightbrown,clay
gravelclay,gravel clay
claygreygravel,gravel clay
soilblack,soil
claygrey,clay
siltred,silt
claygrey,clay
claygrey,clay
claygreysomegravel,gravel clay
basaltwatersupply,water basalt
soil,soil
clay,clay
shaleyellow,shale
shale,shale
claysedimentary,sedimentary clay
clay,clay
sandcoarsegravelwaterbearing,gravel water sand
topsoil,soil
claysandy,sand clay
gravelclaybandswaterbearing,gravel water clay
gravelclay,gravel clay
clay,clay
claysandy,sand clay
sandfinegravelwaterbearing,gravel water sand
gravelwaterbearing,gravel water
claysandy,sand clay
sandwellsorted,sand
claysandy,sand clay
clay,clay
sandclayey,sand clay
clayclayey,clay
sandwhiteyellow,sand
claysandyclay,sand clay
sandwellsorted,sand
topsoil,soil
clay,clay
claysandyclay,sand clay
sandwellsorted,sand
clayyellow,clay
sandwellsortedgravel,gravel sand
clayyellowblack,clay
claysandy,sand clay
clay,clay
claysandy,sand clay
claysandy,sand clay
sandclayeygravel,gravel sand clay
claysandyclay,sand clay
sandwellsortedgravel,gravel sand
claysandy,sand clay
sandclayeygravel,gravel sand clay
sandfine,sand
claycoloured,clay
claysandy,sand clay
sandclayeygravel,gravel sand clay
soilblack,soil
sandclayey,sand clay
claysandyclay,sand clay
clay,clay
sandclayey,sand clay
sandwellsortedgravel,gravel sand
sandclayeywellsorted,sand clay
somelimestone,limestone
sandwellsorted,sand
claysandy,sand clay
sandgravel,gravel sand
sandwellsorted,sand
clay,clay
sandwellsorted,sand
clay,clay
sandwellsorted,sand
sandwellsorted,sand
sandgravel,gravel sand
clay,clay
claycoloured,clay
clay,clay
clay,clay
claysandy,sand clay
topsoil,soil
claysomelimestone,limestone clay
sandclayey,sand clay
sandwhitewellsorted,sand
sandwhitewellsorted,sand
claysandy,sand clay
sandfine,sand
sandwellsorted,sand
someclaybands,clay
sandwhitewellsorted,sand
sandwhitewellsorted,sand
sandwellsorted,sand
sandwhitewellsorted,sand
clay,clay
topsoil,soil
sandwhitemediumcoarse,sand
sandfine,sand
claysandyclay,sand clay
sandstonered,sandstone
claysandyclay,sand clay
claysandy,sand clay
sandclayey,sand clay
claydarkgrey,clay
sandwhitewellsorted,sand
claytoughcoloured,clay
claygreyyellow,clay
sandwhitefinemedium,sand
clay,clay
topsoil,soil
gravelwaterbearing,gravel water
gravelwaterbearing,gravel water
sandstonewaterbearing,water sandstone
clay,clay
claywaterbearing,water clay
gravelsand,gravel sand
clay,clay
clay,clay
gravel,gravel
gravel,gravel
sandwaterbearing,sand water
clay,clay
clay,clay
clay,clay
claysandy,sand clay
topsoil,soil
clay,clay
sandcoarsegravelwaterbearing,gravel water sand
sandgravelwaterbearing,gravel water sand
claysomegravelstreaks,gravel arkose clay
gravelwaterbearing,gravel water
sandcoarse,sand
sandcoarsewaterbearing,sand water
sandclayey,sand clay
claygrey,clay
sandclayeygravel,gravel sand clay
sandcoarsewaterbearinggravelpolymict,gravel water sand
claygrey,clay
clay,clay
sandcoarsegravelwaterbearing,gravel water sand
rockbasicvolcanic,rock volcanic
claygrey,clay
sandcoarsegravelpolymict,gravel sand
claygreycarbonaceous,carbonaceous clay
clay,clay
clay,clay
claygreycarbonaceous,carbonaceous clay
sandcoarsewaterbearing,sand water
sandcoarsewaterbearing,sand water
sandcoarsewaterbearing,sand water
claygrey,clay
sandfinegravelwaterbearing,gravel water sand
sandfinegravelwaterbearing,gravel water sand
clay,clay
sandgravelwaterbearing,gravel water sand
clay,clay
sandfinegravelwaterbearing,gravel water sand
topsoil,soil
clay,clay
sandfinegravelwaterbearing,gravel water sand
shale,shale
claygravelbands,gravel sand clay
claysandbands,sand clay
clay,clay
sandfinegravelwaterbearing,gravel water sand
clay,clay
sandwhitemediumwaterbearing,sand water
sandsiltywaterbearing,silty water sand
siltlightbrown,silt
claylightbrown,clay
siltwaterbearing,water silt
sandyellowmediumwaterbearing,sand water
sandcleanwaterbearing,sand water
sanddirty,sand
sandwhitemediumwaterbearing,sand water
gravelsmallwaterbearing,gravel water
siltgravel,gravel silt
sandyellowmediumwaterbearing,sand water
siltwaterbearing,water silt
soilblack,soil
claysomecalcrete,calcrete clay
claysilty,silty clay
shaleweathered,water shale
silt,silt
sandsiltywaterbearing,silty water sand
siltclayeywaterbearing,water silt clay
clay,clay
claysilty,silty clay
claysandy,sand clay
sandwhitefineclayey,sand clay
sanddirtywaterbearing,sand water
sandclayey,sand clay
gravelsmallwaterbearing,gravel water
clayorangegrey,clay
pebblescalcrete,calcrete pebbles
gravelsmallwaterbearing,gravel water
sandyellowwaterbearing,sand water
silt,silt
gravelsmallwaterbearing,gravel water
claydarkbrown,clay
sandclean,sand
siltwaterbearing,water silt
claysilty,silty clay
claylightbrownsilty,silty clay
claysilty,silty clay
gravelsmallwaterbearing,gravel water
siltclayey,silt clay
clay,clay
clay,clay
sandwhiteclayey,sand clay
sandcoarsewaterbearing,sand water
claysilty,silty clay
sanddirtywaterbearing,sand water
sandyellowwaterbearing,sand water
claysilty,silty clay
sandmediumclayeywaterbearing,sand water clay
clay,clay
sandwhite,sand
sandmediumcoarsewaterbearing,sand water
sandwhiteclayey,sand clay
sandsilty,silty sand
sandcoarsegravelwaterbearing,gravel water sand
sandclayey,sand clay
sandwhitemediumwaterbearingwatersupply,sand water
siltclayeywaterbearing,water silt clay
sandsilty,silty sand
sandcoarsebase,sand carbonaceous
siltlightbrownpebblespebbly,pebbles silt
claylightbrownsilty,silty clay
soilblack,soil
siltgraded,silt
claylightbrownsilty,silty clay
clay,clay
sandyellowish,sand
claysandy,sand clay
siltlightbrownpebblespebbly,pebbles silt
claysandy,sand clay
sandstonegreyweatheredfine,sandstone
clayorangeredgrey,clay
pebbleslimestone,pebbles limestone
sandfine,sand
sandclayey,sand clay
clay,clay
sandstonecreamwhiteweathered,sandstone
silt,silt
sandfine,sand
siltlightbrownclayey,silt clay
coarsebase,carbonaceous
claygrey,clay
clay,clay
clay,clay
sandgravelwaterbearing,gravel water sand
clay,clay
clay,clay
sandgravelwaterbearing,gravel water sand
clay,clay
clay,clay
sandgravelwaterbearing,gravel water sand
topsoil,soil
clay,clay
sandgravelwaterbearing,gravel water sand
clay,clay
sandgravelwaterbearing,gravel water sand
sandwaterbearing,sand water
claygravel,gravel clay
clay,clay
clay,clay
sandgravelwaterbearing,gravel water sand
gravelwaterbearing,gravel water
claygravel,gravel clay
sandgravelwaterbearing,gravel water sand
gravellargewaterbearing,gravel water
clay,clay
claygravel,gravel clay
soilblack,soil
clay,clay
claygravel,gravel clay
gravelwaterbearingsand,gravel water sand
sandstone,sandstone
clayred,clay
clayblack,clay
gravelwaterbearingsand,gravel water sand
clay,clay
claygravel,gravel clay
claygravel,gravel clay
claycream,clay
claysandy,sand clay
sandstone,sandstone
gravelwaterbearing,gravel water
gravel,gravel
gravelwaterbearing,gravel water
clay,clay
claygravel,gravel clay
gravelwaterbearing,gravel water
gravelwaterbearing,gravel water
gravelwaterbearing,gravel water
claygravel,gravel clay
clay,clay
topsoil,soil
claywaterbearing,water clay
clay,clay
sandwaterbearing,sand water
gravelwaterbearing,gravel water
topsoil,soil
gravelwaterbearing,gravel water
sandstonehard,sandstone
clay,clay
clay,clay
claysandy,sand clay
sandstonesoft,sandstone
sandwaterbearing,sand water
gravelwhitewaterbearing,gravel water
clay,clay
clay,clay
topsoil,soil
clay,clay
sandstone,sandstone
claysandy,sand clay
gravelwaterbearing,gravel water
clay,clay
sandgravelwaterbearing,gravel water sand
sandgravelwaterbearing,gravel water sand
rockgravelwaterbearing,gravel water rock
siltgravelwaterbearing,gravel water silt
clay,clay
clay,clay
soilblack,soil
gravelclaybound,gravel clay
gravelwaterbearing,gravel water
clay,clay
clay,clay
clayyellow,clay
soilblack,soil
gravelwaterbearing,gravel water
clay,clay
gravelwatersupply,gravel water
sandgravelwaterbearing,gravel water sand
sandgravelwaterbearing,gravel water sand
clay,clay
topsoil,soil
conglomerate,conglomerate
sandgravelwaterbearing,gravel water sand
sandgravelwaterbearing,gravel water sand
sandgravelwaterbearing,gravel water sand
clay,clay
sandgravel,gravel sand
clay,clay
sandstonewaterbearing,water sandstone
claywaterbearing,water clay
clay,clay
clay,clay
sandyellowveryfine,sand
silt,silt
siltgrey,silt
sandgreyfinemedium,sand
sandlightbrownfinemedium,sand
silt,silt
sandwhiteveryfine,sand
silt,silt
sandlightyellowclean,sand
silt,silt
siltclayey,silt clay
claysandy,sand clay
silt,silt
claygreysandy,sand clay
sandgravel,gravel sand
sandwhitefine,sand
silt,silt
sandgreyfine,sand
claybasaltpebblespebbly,basalt pebbles clay
claysilty,silty clay
sandlightbrownfine,sand
basaltpebblespebbly,basalt pebbles
claygrey,clay
siltgrey,silt
silt,silt
sandgreyveryfine,sand
silt,silt
claysilty,silty clay
soildarkbrown,soil
siltstonegreyfragments,siltstone
sandyellowmedium,sand
sandyellow,sand
clayorangegreysandy,sand clay
silt,silt
sandgreycleanmediumcoarse,sand
siltstonegrey,siltstone
claysomepebblespebbly,pebbles clay
sandyellowwaterbearing,sand water
sandgreycleanmediumcoarsewaterbearing,sand water
claydarkbrownsilty,silty clay
claydarkbrown,clay
sandyellowcleanwaterbearing,sand water
soilblack,soil
claygreysandysandwatersupply,sand water clay
sandlightbrowngravel,gravel sand
sandlightbrownmedium,sand
sandgreysiltywaterbearing,silty water sand
sandgreycoarse,sand
sanddirtygravel,gravel sand
siltlightbrownwaterbearing,water silt
siltgrey,silt
siltgreywaterbearing,water silt
claydarkbrown,clay
sandyellowfinemediumwaterbearing,sand water
claygreysandy,sand clay
claydarkbrownsilty,silty clay
silt,silt
sandorangefinemedium,sand
sandgreycoarsedirty,sand
basaltpebblespebbly,basalt pebbles
claysilty,silty clay
clay,clay
clay,clay
siltgreysandy,sand silt
sandgreyslightlysilty,silty sand
sandgreymedium,sand
claysilty,silty clay
claylightbrown,clay
soilblack,soil
weathered,
claygrey,clay
clay,clay
sandgravel,gravel sand
clay,clay
sandgreycleanmediumcoarse,sand
sandyellowgravel,gravel sand
claysomepebblespebbly,pebbles clay
siltsomeclaybands,silt clay
silt,silt
siltgrey,silt
silt,silt
siltgrey,silt
claylightbrownsiltysomecalcrete,silty calcrete clay
claydarkbrownsilty,silty clay
sandyellow,sand
sandsilty,silty sand
silt,silt
siltgrey,silt
weathered,
sandgreymediumcoarse,sand
clay,clay
sandmediumgravel,gravel sand
siltsomeclaybands,silt clay
clay,clay
sandorangeclayey,sand clay
clayorange,clay
soil,soil
silt,silt
sand,sand
clayorangesiltysomepebblespebbly,silty pebbles clay
silt,silt
siltlightbrown,silt
sandlightbrownveryfine,sand
sandgravel,gravel sand
sandyellowcleanwaterbearing,sand water
volcanicrockweathered,water rock volcanic
claylightbrown,clay
sandgravel,gravel sand
sanddirtygravel,gravel sand
soilblack,soil
sandlightbrownclayey,sand clay
sandlightbrownmediumwaterbearing,sand water
clay,clay
sandlightbrownsilty,silty sand
sandlightbrownmedium,sand
claysiltysomepebblespebbly,silty pebbles clay
siltlightbrown,silt
gravelfinemedium,gravel
claysiltysomepebblespebbly,silty pebbles clay
claycalcretepebblespebbly,calcrete pebbles clay
sandwhitemediumwaterbearing,sand water
siltlightbrownsomepebblespebbly,pebbles silt
sandwhitemediumwaterbearing,sand water
siltlightbrownveryfinesandwatersupply,sand water silt
claysilty,silty clay
claysiltysomepebblespebbly,silty pebbles clay
graveldirty,gravel
siltclayey,silt clay
siltstonegreyweathered,siltstone
sandyellowmediumwaterbearing,sand water
clay,clay
basaltpebblespebbly,basalt pebbles
claysilty,silty clay
gravelfinedirty,gravel
claygrey,clay
claysiltywaterbearing,silty water clay
sandclayeygravel,gravel sand clay
sandmediumcoarsewaterbearing,sand water
sandmediummediumgravel,gravel sand
sandsilty,silty sand
sandlightbrownmediumwaterbearing,sand water
claysilty,silty clay
claysandgravel,gravel sand clay
sandgreysmallgravelwaterbearing,gravel water sand
claysilty,silty clay
sandlightbrownfinewaterbearing,sand water
silt,silt
claysilty,silty clay
silt,silt
sandyellowmediumwaterbearing,sand water
sandgreysiltyclayey,silty sand clay
sandlightbrownveryfine,sand
claylightbrownsandy,sand clay
clay,clay
sandfinewaterbearing,sand water
sandfinewaterbearing,sand water
claygreysiltywaterbearing,silty water clay
siltstoneweatheredconglomerate,water conglomerate siltstone
sandclayeygravel,gravel sand clay
sanddirtygravel,gravel sand
claygreysilty,silty clay
sandgravel,gravel sand
sandgreysilty,silty sand
claygreysilty,silty clay
sandgreysiltyclayey,silty sand clay
soilblack,soil
sandmediumsmallgravelwatersupply,gravel water sand
sandfine,sand
clayorangegreysomecalcrete,calcrete clay
clay,clay
sandgravelwaterbearing,gravel water sand
claygreysandy,sand clay
sandsiltywaterbearing,silty water sand
siltlightbrown,silt
claysilty,silty clay
sandclayey,sand clay
sandclayeywaterbearing,sand water clay
sandyellowfinemediumwaterbearing,sand water
sandfinemediumwaterbearing,sand water
soilblack,soil
sandcoarsefinegravelwatersupply,gravel water sand
sandwhitefine,sand
siltgrey,silt
claysiltywaterbearing,silty water clay
sandmediumfinegravelwatersupply,gravel water sand
siltgrey,silt
sandslightlyclayey,sand clay
siltgreywaterbearing,water silt
claycalcretepebblespebbly,calcrete pebbles clay
claylightbrownsandy,sand clay
claysilty,silty clay
claygreysandysomepebblespebbly,sand pebbles clay
sandyellowfinemediumwaterbearing,sand water
sandsilty,silty sand
sandmediumwaterbearing,sand water
sandlightbrownfine,sand
sandgreymediumwaterbearing,sand water
sandyellowfinemediumwaterbearing,sand water
sandlightbrownfinemediumwaterbearing,sand water
silt,silt
siltlightbrown,silt
sandmediumdirty,sand
sandgreyveryfinewaterbearing,sand water
sandgrey,sand
sandgravelwaterbearing,gravel water sand
claysilty,silty clay
claygrey,clay
siltyellowsandy,silty sand
claysandywaterbearing,sand water clay
claylightbrownsilty,silty clay
driller,diorite
claysilty,silty clay
claygreyorange,clay
claysilty,silty clay
siltlightbrown,silt
siltgrey,silt
shalesandy,sand shale
gravelwaterbearing,gravel water
clayyellow,clay
clayyellow,clay
gravelclaybound,gravel clay
claysandyridge,sand clay
soilblack,soil
gravelwaterbearing,gravel water
gravelclaybound,gravel clay
sandcleanwaterbearing,sand water
clay,clay
clayred,clay
bands,sand
shalegreenish,shale
sandclayeywaterbearing,sand water clay
sandorangeclayeywaterbearing,sand water clay
clayblack,clay
clayorange,clay
sand,sand
claydarkbrownsomecalcrete,calcrete clay
claysandy,sand clay
shaleyellowweathered,shale
clay,clay
sandclayey,sand clay
shaleorangesomecarbonaceous,shale carbonaceous
claysandy,sand clay
clayyellowwaterbearing,water clay
clay,clay
claysandy,sand clay
topsoil,soil
sandstreakssandywaterbearing,sand water
clay,clay
sandgravelwaterbearing,gravel water sand
sandgravelwaterbearing,gravel water sand
clay,clay
claystreakssandy,sand clay
claysandy,sand clay
claystreakssandywaterbearing,sand water clay
sandcoarsegravelwaterbearing,gravel water sand
shalesomeclaybandswatersupply,water shale clay
basalt,basalt
clayred,clay
topsoilred,soil
shale,shale
shalegrey,shale
shalewatersupply,water shale
clay,clay
gravelwaterbearing,gravel water
topsoil,soil
rockhard,rock
sandclay,sand clay
topsoil,soil
shale,shale
gravelwaterbearingsand,gravel water sand
clay,clay
soil,soil
gravelcoarseloosewetwaterbearing,gravel water
claysilty,silty clay
gravelclayey,gravel clay
sandstoneweathered,water sandstone
gravelredcoarseloosedry,gravel sand boulders clay
conglomerateweathered,water conglomerate
conglomerateweathered,water conglomerate
gravelfinemediumcleanwaterbearing,gravel water
gravelclayeywaterbearing,gravel water clay
gravelmediumclayeywaterbearing,gravel water clay
somepebblespebbly,pebbles
gravelcreamclayey,gravel clay
claylightbrownsilty,silty clay
sandcoarsesilty,silty sand
claycreamsilty,silty clay
sandfinemedium,sand
gravelmediumconglomeratewatersupply,gravel water conglomerate
gravellightbrownclayeywaterbearing,gravel water clay
sandorangesmallgravelwaterbearing,gravel water sand
sandlightbrowncoarsesomegravelwaterbearing,gravel water sand
soilblack,soil
claylightbrownsilty,silty clay
sandlightbrowngravel,gravel sand
sandcoarse,sand
gravelclayeywaterbearing,gravel water clay
claylightbrownsiltywaterbearing,silty water clay
claysiltywaterbearing,silty water clay
claylightbrownsomepebblespebblywatersupply,water pebbles clay
sandcoarse,sand
sandgreyfinemedium,sand
sandgreymediumcoarsewaterbearing,sand water
sandgreysiltycoarsewaterbearing,silty water sand
siltgreysandy,sand silt
sandcleangravelwaterbearing,gravel water sand
sandcoarsegravelwaterbearing,gravel water sand
claygreysomepebblespebbly,pebbles clay
claylightbrownsiltysomepebblespebbly,silty pebbles clay
siltstonecreamweathered,siltstone
siltgrey,silt
sandgravelwaterbearing,gravel water sand
claygreysomepebblespebbly,pebbles clay
sandgreygravelwaterbearing,gravel water sand
siltlightbrownclayey,silt clay
clayorangegrey,clay
siltwaterbearing,water silt
siltlightbrownsandy,sand silt
sandwaterbearing,sand water
sandsiltygravel,gravel sand silty
soilblack,soil
gravelclayey,gravel clay
sandcoarsegravelwaterbearing,gravel water sand
siltclayey,silt clay
sandclayboundgravel,gravel sand clay
gravelbands,gravel sand
claysandy,sand clay
sandclayboundgravel,gravel sand clay
claysandy,sand clay
clayyellowgrey,clay
claydarkblueveryhard,clay
claysandy,sand clay
clay,clay
sandclaybound,sand clay
somecoarsebands,
sandmediumcoarse,sand
sandgreymediumcoarsegravel,gravel sand
clayhard,clay
gravelfinebands,gravel
sandorangegreymediumcoarsefinemediumgravel,gravel sand
claygravel,gravel clay
topsoil,soil
claykhakigravelwaterbearing,gravel water clay
