Description,Extracted
sandstone,sandstone
shale,shale
sandgreen,sand
sandstone,sandstone
sandstonehard,sandstone
shale,shale
shalesandstone,shale sandstone
sandstone,sandstone
shalegrey,shale
sandstoneyellowwatersupply,water sandstone
claysandy,sand clay
clay,clay
sandgravel,gravel sand
rockhard,rock
sandstonewatersupply,water sandstone
shale,shale
clay,clay
sandgravelwatersupply,gravel water sand
clayswelling,clay
sandclay,sand clay
rockhard,rock
clayyellowsandy,sand clay
driftwatersupply,water drift
clayyellow,clay
clay,clay
shaleblack,shale
shale,shale
claygreysandy,sand clay
clayyellow,clay
rockhard,rock
claysandy,sand clay
hardstreaks,
claywhite,clay
rockhard,rock
clay,clay
sandstonewatersupply,water sandstone
clay,clay
sandstonewatersupply,water sandstone
sandstonefine,sandstone
clayyellowwatersupply,water clay
claygravelwatersupply,gravel water clay
shale,shale
shaleclay,shale clay
sandstone,sandstone
clayhard,clay
driller,diorite
driller,diorite
claysandy,sand clay
shale,shale
driller,diorite
rockgrey,rock
shale,shale
claysand,sand clay
shale,shale
sandwatersupply,sand water
claysandystones,sand stones clay
sandgravel,gravel sand
claysandy,sand clay
claysandy,sand clay
claysandy,sand clay
sandstoneveryhard,sandstone
shale,shale
hardstreaks,
sandstone,sandstone
clayhardbands,clay
rockhard,rock
rockhard,rock
rock,rock
shalegreysandy,sand shale
shaleblack,shale
sandstoneyellow,sandstone
sandgravel,gravel sand
sandrockwhite,sand rock
rock,rock
clayredsurface,clay
clayredsurface,clay
shaleyellowgrey,shale
sandstone,sandstone
shalehard,shale
rockhard,rock
rockhardsandrock,sand rock
rock,rock
shale,shale
sandstone,sandstone
sandrockwhite,sand rock
shaleblack,shale
shale,shale
shale,shale
shalegreysandy,sand shale
rockgreyhard,rock
sand,sand
coal,coal
shale,shale
sandstonegrey,sandstone
sandstonegrey,sandstone
sandstonegrey,sandstone
sandstonegrey,sandstone
shalehard,shale
sandstonewaterbearing,water sandstone
sandrockwhite,sand rock
shaleblackhard,shale
shaleblackcoal,shale coal
sandstonegrey,sandstone
sandstonehardwaterbearing,water sandstone
shale,shale
shalehard,shale
sandstoneyellow,sandstone
coal,coal
